;categories;Count;category_main
594;pork-meals;1;Plats préparés
595; breaded-products;1;Pains et céréales
596;fr:FRomages de vache;1;Produits laitiers
597;Jus de pomme;1;Jus de fruits
598;meat-based-products;1;Viandes et charcuteries
599;Sugared beverages;1;Boissons
600;Sauces soja;1;Sauces
601;Mascarpone;1;Produits laitiers
602;Cow cheeses;1;Produits laitiers
603;bebida con frutas;1;
604;Confitures de fraises;1;
605; fr:Produits à base de levure de bière;1;
606;Fromage frais;1;Produits laitiers
607;Lasagnes à la bolognaise;1;Plats préparés
608;Pastas;1;Pâtes alimentaires
609; microwave-meals;1;Plats préparés
610;Aoc-products;1;
611;Foies gras de canard;1;Viandes et charcuteries
612;Biscottes pauvres en sel;1;Pains et céréales
613;Sauces tomates pimentees;1;Sauces
614;Biscottes au froment;1;Pains et céréales
615;Torsades-semi-completes;1;Pains et céréales
616; spring-waters;1;Eau
617;Beurres doux;1;Produits laitiers
618;Gaufres;1;
619;Flakes;1;Pains et céréales
620;crêpe;1;
621; breakfast-cereals;1;Pains et céréales
622;Yaourts à la fraise;1;Produits laitiers
623;Lardons natures;1;Viandes et charcuteries
624;Quiches;1;Plats préparés
625;Tartes salées;1;Plats préparés
626;Palets bretons;1;Biscuits et gateaux
627; rice-puddings;1;Plats préparés
628;Harengs en conserve;1;Conserves, Produits de la mer
629;Yaourts au soja;1;Aliments et boissons à base de végétaux
630;fr:produit-lacte;1;Produits laitiers
631;Fruits à coques décortiquées;1;Fruits à coque
632;Boissons lactées au café;1;Boissons
633;Céréales soufflées;1;Pains et céréales
634;Feta;1;Produits laitiers
635;Barres aux fruits;1;
636;chocolat au beurre de cacao cru;1;Chocolats
637;Crevettes frites;1;Produits de la mer, Plats préparés
638;Champagnes rosés;1;Boissons alcoolisées
639;Croûtons;1;Pains et céréales
640; fr:fondants-au-chocolat;1;Chocolats
641;Jus de pommes pur jus;1;Jus de fruits
642;Pizzas surgelées;1;Plats préparés
643;nuts;1;Fruits à coque
644;Eaux aromatisées;1;Boissons
645;Filets de cabillaud;1;Produits de la mer
646;Crêpes de froment;1;
647;Postres vegetales con cacao;1;
648;Grated cheese;1;Produits laitiers
649;Desserts lactés natures;1;
650;Pains au lait;1;Pains et céréales
651;Pains au lait aux pépites de chocolat;1;Pains et céréales
652; fats;1;
653;Bonbons;1;
654;Haricots blancs;1;Légumineuses
655;Tomates et dérivés;1;Fruits
656;Tartes surgelées (salées);1;Plats préparés, Surgelés
657;de:pflanzliche-lebensmittel-und-getranke;1;Aliments et boissons à base de végétaux
658;Tahini;1;Pâtes à tartiner
659;Nectars de pêche;1;Jus de fruits
660;Fromages labellisés;1;Produits laitiers
661; industrial-cheese;1;Produits laitiers
662;Rooibos;1;Thés et infusions
663;fromage;1;Produits laitiers
664;Saucen;1;Sauces
665; poultries;1;
666;de:Endulzantes;1;
667;Vinos;1;Boissons alcoolisées
668;Canned cereals;1;Conserves
669;Matières grasses à tartiner;1;Pâtes à tartiner
670;Appetizers;1;
671;Maquereaux en conserve;1;Conserves, Produits de la mer
672;Getränke;1;Boissons
673; fr:Riz au lait vanille de Madagascar;1;Plats préparés
674;Apple compotes;1;Compote de fruits
675;Jus de fruits;1;Jus de fruits
676;Meat analogues;1;Viandes et charcuteries
677;Pickles d'origine végétale;1;
678;Fromages du Nord-Pas-de-Calais;1;Produits laitiers
679;Sirops traditionnels;1;
680;Confitures et marmelades;1;Pâtes à tartiner
681;Passierte Tomaten;1;
682;Nudeln;1;
683; red-pestos;1;Sauces
