4600,λαμία
4601,κοζανη ελλαδα
4603,ελληνικα γαλακτοκομεια α ε
4604,τρικαλα
4606, falani
4607,ιωαννινα ελλαδα
4608,lokrida
4609,μεσολογγι ελλαδα
4617,producteurs utz
4621,u h t
4625,gout candi
4630,maquereaux
4634,naturel
4637,belgiqie
4649,lenniksebaan 
4661,kasteelstraat
4667,cachemire
4676,mongolie inferieure
4681,fleuus
4683,wallonie
4686,lagerspoort
4688,algarve
4709,danemarca
4712,mścice
4713,فيتامين د كالسيوم حديد اوميغا
4714,بولندا
4716,  zator
4720,magnisias
4721,kralovac
4722,bacău
4723,botoșani
4725,bucurești
4727,săveni
4728,norvegia
4730,mezőbereny
4732,zuid afrika
4733,jacob hooy
4734,gluten
4745,spices
4748,produit en u e
4756,hymalaya
4759,ماء معدني
4760,بوثلجة ولاية الطارف
4761,الجزائر
4766,tournesol
4769,тунис
4772,syrie
4774,كاكاو سكر
4775,صنع في الاردن بترخيص من شركة فيلادلفيا هولندا
4776,eorupe
4779,saudia
4780,sadafco
4784,molendinar
4788,北京
4789,中国
4790,jiang su
4791,الصين
4793,水，麦芽
4794,中国徐州
4799,nornirkilden
4800,trollasen
4801,west indies
4805,בת ים
4806,ישראל
4812,hellebrunn
4813,bergslagen
4814,blekinge
4815,dalarna
4816,osterlen
4817,malmo suede
4818,vastgotaslatten
4819,vastergotland
4820,sverige
4826,west africa
4828,hofars
4829,tappet i sverige
4832,guatamala
4837,mexocp
4840,maltodextrina
4845,edomex
4865,eee uu
4872,sams club
4884,ch  frenkendorf
4892,кения
4897,phillipines
4903,etranger
4918, fribourg
4924,suisses
4925,bosnie herzegovine
4930, bischofszell
4932,bischofszell
4935,ilalie
4939,bullgarie
4940,northamerica
4941,southamerica
4948,neuenegg
4954,anonyme
4958,source hepar
4962,feance
4968,ch  volketswill
4969,pouet bresil
4977,landquaft
4981,terrasuisse
4985,ch  volketswill
4987,wolketswil
4991,migros
4996,micarna
4997,tchequie
5011,sardaigne
5024,at s a
5037,mlaysia
5042,cr cremone
5052,tuscany
5054,fromages
5062,turchia
5068,osellsa
5085, thiesi
5110,caserte
5120,valpenga
5136,matelica mc
5138,gueldres
5143,eurofood
5145,origine sconosciuta
5148,inghilterra
5152,the bridge srl
5157,copparo
5160,cuneo
5162,balzona
5164,albanien
5165,marokko
5167,cervasca
5168,maniva
5169,bagolino
5173,
5174,cocebi
5176,produit
5177,courmayeur
5180,laces
5182,valcolatte
5184,plaisance
5186,sudtirol
5187,aldein
5190,lequile
5191,lecce
5192,guerzoni
5193,grape
5195,altivole
5197,rice
5198,grazzanise
5203,salerne
5204,roccascalegna
5209,bagheria
5213,palagonia
5214,trentin
5218,vegetali
5224,fevrier 
5225,vergiate
5231,itri
5232,comunitari
5236,genes
5240,lazio
5241,mexicaine
5242,talia
5252,educloranti
5254,stabilizzatori
5255,aromi
5258,degelis
5265,labatut
5267,landas
5268,aquitania
5269,triman
5270,santona
5271,marruecos
5272,labastida
5273,alava
5277,trescasas
5279,cistierna
5281,deltebre
5282,bullas
5284,gador
5287,coria
5288,funes
5290,alcoy
5291,cenicero
5296,nefta
5298,carcastillo
5300,montilla
5302,chufa
5303,alcasser
5306,vilches
5309,aceitunas
5311,valpena
5320,rueda
5322,pamplona
5324,calasparra
5325,mallen
5326,viladrau
5327,gerona
5329,almagro
5333,giro
5336,castejon
5337,picassent
5338,beniparrell
5340,
5341,talayuela
5344,
5345,cadreita
5346,cartagena
5349,beteta
5351,tauste
5352,granada
5354,verin
5358,leganes
5364,
5365,batata
5366,yuca
5368,benejuzar
5369,gava
5372,carracedelo
5376,
5377,escuzar
5378,esoagne
5381,burgos
5385,lugo
5389,uzes
5392,mord
5393,cacahuetes
5394,naquera
5395,burlada
5396,mutilva
5397,aranguren
5398,guissona
5401,alberio
5402,azagra
5404,piera
5405,barcelogne
5406,frigiliana
5407,tarancon
5409,vizcaya
5411,elche
5412,alzira
5413,
5418,andosilla
5419,llieda
5420,vallodolid
5425,almussafes
5426,valtierra
5427,sollana
5429,
5430,plasencia
5434,torrijos
5435,cordoba
5437,paiporta
5442,benifla
5444,gijon
5445,penafiel
5446,castellcir
5447,arahal
5449,antequera
5450,borgo vercelli
5452,alcantarilla
5454,gomezserracin
5455,garray
5458,estepa
5461,genave
5464,
5469,entrena
5470,montseny
5471,cartalogne
5473,badajoz
5475,vilamalla
5476,dosrius
5478,coristanco
5480,moraleja
5485,chinchon
5487,mula
5489,valdestillas
5490,peralta
5495,santaella
5499,foios
5503,tudela
5506,bonete
5507,
5509,masquefa
5510,cochabamba
5513,polinya
5514,trokoniz
5518,chibche
5519,castelltercol
5520,benimarfull
5523,librilla
5529,monturque
5534,requena
5538,seros
5539,celra
5550,fuentesauco
5556,agost
5558,lorqui
5560,antas
5561,melocotones
5562,fresas
5565,silla
5569,cantabria
5571,onzonilla
5573,esparraguera
5575,pinoso
5580,berja
5581,el alquian
5582,pioz
5591,marinaleda
5593,alcaniz
5598,segovia
5600,orejana
5602,     
5604,archena
5606,almunecar
5607,aranjuez
5608,alcazaren
5610,jumilla
5611,moianes
5614,lumbier
5621,letur
5623,valdelaguna
5624,muro
5625,segorbe
5627,alozaina
5630,villarubia
5632,loja
5633,valdepenas
5634,paterna
5635,kreuzlingen
5637,cerceda
5642,cadiz
5648,chantada
5651,valdemoro
5652,albatera
5653,getafe
5657,iznalloz
5659,cuenca
5661,minglanilla
5663,ricla
5665,naron
5668,almonte
5669,daroca
5671,jijona
5673,soria
5674,anavieja
5675,productor
5678,meliana
5682,ayecue
5683,massalfassar
5684,barxeta
5685,olives
5687,alemanya
5690,arrubal
5692,leche
5699,rn rimini
5711,ciruelas
5716,alcobaca
5717,santomera
5718,torrox
5736,eslovaquia
5737,slovacia
5738,česko
5740,budweis
5742,сербия
5747,
5748,zeytinburnu
5750,kocaeli
5751,istambul
5752,tatlandırıcılar
5755,renklendirici
5758,turcia
5759,fatih
5760,konya
5764,maraş
5765,kahramanmraş
5766,kızılcahamam
5767,العراق
5768,montbert
5773,harnes
5774,almelo
5777,beesd
